order_id,user_id,restaurant_id,order_date,total_amount
96,1048,157,17-09-2023,711.84
97,614,335,18-09-2023,190.14
98,1135,161,5/12/2023,1225.83
99,549,11,25-11-2023,146.68
100,2811,484,15-12-2023,632.94
101,1337,96,24-09-2023,852.59
102,991,482,7/3/2023,913.83
103,1922,492,11/4/2023,1017.18
104,1115,379,3/10/2023,1191.17
105,804,407,1/6/2023,109.14
106,2873,68,18-11-2023,1352.79
107,1118,388,5/3/2023,1037.09
108,1493,5,16-04-2023,1375.29
109,532,432,27-05-2023,1461.82
110,1350,220,4/6/2023,932.09
111,1416,66,30-03-2023,1346.23
112,2446,447,15-11-2023,149.76
113,2265,28,13-04-2023,475.81
114,142,390,29-07-2023,842.42
115,827,184,17-02-2023,367.72
116,2476,319,12/3/2023,296.82
117,1449,328,7/5/2023,1485.31
118,1209,209,22-07-2023,880.41
119,1741,257,18-09-2023,1008.64
120,1385,379,6/8/2023,1146.39
121,383,438,31-07-2023,930.64
122,2661,376,1/8/2023,769.46
123,2440,73,17-12-2023,1492.73
124,257,102,7/6/2023,996.95
125,1649,14,9/10/2023,1345.86
126,970,122,29-09-2023,320.68
127,2913,309,4/1/2023,1251.4
128,42,152,10/6/2023,379.57
129,1227,46,28-11-2023,158.62
130,1128,418,5/9/2023,710.77
131,2850,389,10/8/2023,1406.07
132,778,302,3/3/2023,198.22
133,2384,165,29-03-2023,872.28
134,45,220,24-03-2023,775.17
135,912,483,9/11/2023,365.07
136,2643,175,16-02-2023,968.84
137,1603,20,27-05-2023,1401.56
138,880,384,9/5/2023,1140.38
139,1639,19,20-04-2023,1446.43
140,765,381,13-03-2023,1381.41
141,1831,384,12/11/2023,1129.47
142,1860,112,7/2/2023,1331.64
143,1729,259,22-11-2023,158.75
144,2519,452,16-04-2023,247.03
145,1243,11,17-09-2023,365.51
146,93,2,20-04-2023,1250.74
147,1821,268,27-05-2023,172.91
148,1975,73,6/2/2023,607.82
149,2337,345,24-06-2023,932.79
150,2136,486,1/3/2023,1402.24
151,863,474,7/12/2023,1148.35
152,2115,176,29-09-2023,112.31
153,2832,34,16-02-2023,641.49
154,623,244,28-05-2023,221.42
155,2523,90,12/3/2023,484.27
156,282,179,2/8/2023,1373.33
157,436,120,26-05-2023,439.11
158,2732,182,16-01-2023,439.9
159,2152,357,4/1/2023,1070.88
160,1291,381,30-03-2023,139.67
161,354,319,29-09-2023,175.84
162,939,208,6/11/2023,763.73
163,2852,86,26-12-2023,190.64
164,2241,104,8/8/2023,411.65
165,1982,325,12/5/2023,761.84
166,1583,169,6/10/2023,456.5
167,1644,483,11/10/2023,427.18
168,1437,135,15-06-2023,1357.22
169,2475,320,7/4/2023,1013.3
170,2134,290,9/3/2023,1352.94
171,968,319,15-07-2023,1102.1
172,1953,332,22-01-2023,1307.06
173,1352,109,18-06-2023,164.31
174,740,371,11/12/2023,1161.71
175,238,379,27-10-2023,1482.75
176,2544,171,17-12-2023,552.39
177,2271,117,15-05-2023,1088.98
178,424,375,14-05-2023,1402.18
179,1437,91,7/9/2023,703.69
180,816,399,19-05-2023,1289.82
181,1090,136,20-04-2023,1437.19
182,131,123,9/2/2023,1470.97
183,724,489,26-06-2023,561.65
184,1945,391,9/3/2023,518.58
185,1722,54,13-08-2023,105.4
186,2704,285,31-05-2023,1028.25
187,2805,116,22-06-2023,803.92
188,2666,277,30-06-2023,558.85
189,574,442,2/9/2023,805.04
190,1542,237,13-03-2023,501.58
191,2482,116,5/5/2023,1340.73
192,345,76,24-04-2023,862.55
193,2405,126,20-01-2023,261.66
194,914,183,17-07-2023,401.42
195,1258,58,12/2/2023,1179.75
196,789,254,25-07-2023,967.6
197,996,58,3/3/2023,619.68
198,767,243,5/4/2023,1389.57
199,2543,94,6/10/2023,844.75
200,2619,263,8/2/2023,258.38
201,1782,49,20-05-2023,375.74
202,1347,43,25-02-2023,1169.6
203,482,376,30-01-2023,986.26
204,2094,364,23-10-2023,1164.27
205,1380,54,25-12-2023,121.12
206,253,308,17-12-2023,200.98
207,2453,218,23-02-2023,1441.98
208,1642,352,2/3/2023,1250.84
209,761,232,1/2/2023,353.88
210,1816,458,2/5/2023,169.2
211,1209,437,26-12-2023,484.58
212,2339,20,10/11/2023,390.16
213,2626,374,24-05-2023,701.52
214,66,365,29-12-2023,1229.36
215,1087,446,24-07-2023,334.56
216,105,106,8/4/2023,455.32
217,1846,376,20-02-2023,538.3
218,327,138,14-03-2023,825.18
219,430,125,3/2/2023,883.67
220,1154,132,17-12-2023,394.85
221,2922,338,17-04-2023,616.19
222,1884,459,18-05-2023,572.97
223,1118,407,10/4/2023,1477.26
224,370,277,14-04-2023,1130.13
225,2992,47,28-07-2023,491.77
226,2341,100,25-03-2023,307.03
227,77,466,1/3/2023,361.97
228,2302,196,6/2/2023,618.25
229,760,351,13-12-2023,672.94
230,2064,186,24-01-2023,1406.25
231,399,280,9/1/2023,272.23
232,196,419,11/3/2023,744.13
233,2278,492,23-08-2023,661.75
234,2342,62,8/2/2023,724.11
235,629,2,23-06-2023,144.79
236,1298,349,15-05-2023,735.33
237,991,329,2/9/2023,379.94
238,1695,140,30-09-2023,745.99
239,2165,272,28-12-2023,572.94
240,1879,97,20-12-2023,1296.96
241,2067,438,19-09-2023,1339.09
242,2160,198,16-03-2023,809.35
243,690,17,19-09-2023,1139.5
244,323,55,10/7/2023,506.36
245,1067,470,7/4/2023,793.48
246,2438,339,9/8/2023,212.5
247,170,315,25-06-2023,662.32
248,958,6,2/10/2023,931.29
249,478,438,30-09-2023,238.03
250,2143,406,5/6/2023,1067
251,2575,250,10/2/2023,248.07
252,677,396,25-03-2023,1032.04
253,344,316,15-10-2023,1117.08
254,2588,270,15-04-2023,793.84
255,2125,279,10/12/2023,655.05
256,1220,205,14-05-2023,212.44
257,943,396,17-06-2023,965.63
258,968,481,27-06-2023,1159.83
259,775,315,6/12/2023,1152.68
260,2482,70,10/8/2023,314.23
261,1680,187,25-02-2023,369.43
262,1130,188,17-04-2023,256.62
263,1026,247,15-06-2023,335.79
264,597,106,28-07-2023,141.92
265,803,152,28-08-2023,1424.31
266,2519,60,26-05-2023,523.34
267,956,357,15-05-2023,980
268,1484,496,28-01-2023,403.36
269,1691,339,20-07-2023,1300.3
270,427,332,9/10/2023,1198.77
271,565,284,29-01-2023,798.3
272,1489,331,27-06-2023,1120.81
273,2316,135,14-04-2023,527.2
274,679,170,11/6/2023,803.59
275,1754,256,18-03-2023,301.25
276,2191,125,28-11-2023,269.2
277,2403,282,25-09-2023,205.98
278,2124,343,21-12-2023,1388.57
279,1505,493,1/12/2023,916.46
280,443,263,5/5/2023,1032.33
281,349,271,13-05-2023,850.33
282,2071,224,5/12/2023,742.69
283,55,175,26-10-2023,1434.2
284,1174,366,18-03-2023,951.22
285,764,365,24-03-2023,571.04
286,1446,81,8/8/2023,711.18
287,4,449,26-09-2023,1010.1
288,2098,442,22-07-2023,560.28
289,186,163,4/1/2023,219.4
290,1213,163,15-08-2023,258.46
291,936,147,10/1/2023,534.05
292,2160,200,8/8/2023,248.1
293,1646,119,2/10/2023,1190.26
294,537,483,23-07-2023,549.97
295,595,206,9/3/2023,391.4
296,2928,147,15-01-2023,1035.36
297,2594,301,11/11/2023,300.6
298,1305,85,31-05-2023,824.92
299,1628,197,6/3/2023,504.65
300,2694,204,25-02-2023,1307.89
301,1164,202,1/5/2023,1020.89
302,2118,234,21-02-2023,690.95
303,1395,111,16-03-2023,121.39
304,2401,432,5/2/2023,993.25
305,1262,329,12/9/2023,1462.67
306,2233,18,28-08-2023,772.47
307,1150,497,18-10-2023,345.66
308,757,438,22-05-2023,1204.97
309,1344,76,30-10-2023,1494
310,1402,113,22-11-2023,365.5
311,832,103,13-01-2023,919.29
312,1921,242,8/11/2023,1026.01
313,2183,333,4/2/2023,348.63
314,2177,410,25-07-2023,865.98
315,2474,32,28-02-2023,245.73
316,2280,251,25-07-2023,319.08
317,322,143,31-10-2023,262.36
318,1739,303,4/10/2023,1443.73
319,694,83,12/12/2023,420.56
320,2555,262,2/5/2023,1431.39
321,2023,134,11/12/2023,1239.1
322,1690,208,4/4/2023,765.9
323,2084,168,4/10/2023,548.43
324,2742,163,7/3/2023,968.8
325,223,39,28-03-2023,817.89
326,48,279,9/10/2023,1039.9
327,413,171,20-09-2023,396.63
328,1019,254,30-12-2023,1425.43
329,1573,17,15-03-2023,654.51
330,1588,194,30-07-2023,1415.25
331,1679,6,8/11/2023,1058.26
332,870,320,16-12-2023,816.47
333,2271,208,29-05-2023,1063.14
334,1496,33,1/1/2024,419.28
335,1134,46,10/8/2023,561.81
336,2122,356,14-12-2023,1422.53
337,1155,397,10/12/2023,979.78
338,2534,38,21-06-2023,837.74
339,1739,436,21-12-2023,1356.85
340,1339,396,27-08-2023,793.05
341,114,91,25-03-2023,1373.68
342,1526,464,13-07-2023,919.8
343,1080,111,31-07-2023,960.54
344,321,315,10/12/2023,746.18
345,1474,277,22-09-2023,608.15
346,2868,383,29-04-2023,938.52
347,1485,430,28-08-2023,999.35
348,308,419,10/9/2023,549.31
349,1883,62,16-02-2023,514.27
350,1730,112,3/2/2023,840.19
351,2755,218,9/7/2023,1387.05
352,1897,96,21-03-2023,1043.46
353,1105,188,31-10-2023,1123.59
354,372,391,15-01-2023,642.58
355,1226,333,12/5/2023,339.08
356,2465,67,6/11/2023,1234.61
357,2184,270,29-04-2023,1103.89
358,312,169,2/3/2023,705.35
359,2016,23,19-01-2023,260.34
360,98,242,27-01-2023,792.09
361,1424,403,23-09-2023,1174.93
362,2004,16,9/12/2023,194.31
363,2586,484,29-03-2023,1200.79
364,1746,174,28-03-2023,313.78
365,2567,119,15-05-2023,816.48
366,959,187,11/3/2023,1128.66
367,128,14,22-10-2023,261.53
368,1804,188,17-02-2023,1120.32
369,1665,283,7/12/2023,486.28
370,1666,430,17-10-2023,557.92
371,475,153,17-09-2023,1430.39
372,2101,281,28-08-2023,133.81
373,1301,177,29-08-2023,1489.28
374,2642,401,7/6/2023,161.54
375,2873,153,20-02-2023,469.24
376,496,432,30-01-2023,462.68
377,2089,398,2/11/2023,213.1
378,2757,272,26-11-2023,838.49
379,1538,323,19-06-2023,1211.23
380,2143,240,4/11/2023,908.79
381,1431,217,6/5/2023,1298.31
382,1535,367,25-03-2023,594.54
383,2449,347,19-09-2023,1122.1
384,223,104,26-08-2023,992.15
385,2,121,4/3/2023,1082.71
386,2292,270,16-04-2023,970.25
387,20,417,30-01-2023,1071.08
388,2829,131,25-11-2023,1023.3
389,1893,288,18-03-2023,893.16
390,2022,327,13-02-2023,640.58
391,1078,132,12/10/2023,700.55
392,2907,488,28-09-2023,168.72
393,188,452,1/2/2023,107.8
394,918,344,22-06-2023,1282.13
395,1797,45,1/6/2023,315.02
396,315,438,3/9/2023,372.82
397,2316,156,17-05-2023,114.64
398,96,263,20-07-2023,904.25
399,834,45,28-12-2023,583.52
400,2690,27,28-02-2023,101.01
401,1832,359,4/4/2023,996.34
402,197,59,9/12/2023,1341.11
403,1042,338,31-10-2023,1158.77
404,1232,94,23-02-2023,669.78
405,95,330,17-04-2023,1302.45
406,1675,478,27-12-2023,869.66
407,1654,428,17-11-2023,482.4
408,2849,227,14-09-2023,787.55
409,1759,117,5/5/2023,1042.16
410,19,164,23-01-2023,286.19
411,1350,101,18-08-2023,816.92
412,653,126,20-10-2023,464.14
413,137,259,15-01-2023,1311.66
414,2338,429,22-10-2023,1259.75
415,2535,448,7/11/2023,255.1
416,1283,481,13-06-2023,1104.78
417,1933,251,1/1/2023,505.51
418,1369,72,11/5/2023,738.19
419,1246,341,25-11-2023,391.1
420,1672,378,20-12-2023,243.27
421,1408,403,8/5/2023,530.89
422,468,389,1/8/2023,985.99
423,1530,319,3/6/2023,696.34
424,1257,197,4/8/2023,701.69
425,1453,244,13-03-2023,1034.45
426,1607,12,24-11-2023,448.47
427,153,257,29-01-2023,473.73
428,635,104,2/4/2023,122.37
429,1033,65,10/6/2023,419.07
430,1135,130,15-11-2023,416.19
431,1024,464,15-06-2023,1292.09
432,1089,484,20-04-2023,1264.35
433,2400,425,27-02-2023,1000.18
434,2355,265,30-09-2023,1346.12
435,1311,417,9/8/2023,806.75
436,1771,389,8/3/2023,1107.25
437,1847,363,13-11-2023,1442.45
438,700,8,2/3/2023,842.29
439,2568,194,19-10-2023,1479.4
440,181,429,5/7/2023,854.8
441,98,317,5/2/2023,502.41
442,1289,436,1/4/2023,1355.34
443,1025,131,5/4/2023,447.05
444,9,350,24-01-2023,1434.15
445,148,437,22-11-2023,363.78
446,657,188,12/12/2023,583.75
447,45,476,31-08-2023,1332.7
448,129,494,30-12-2023,647.16
449,1205,408,18-07-2023,787.53
450,643,269,13-08-2023,460.23
451,2216,237,10/6/2023,1053.86
452,1731,157,22-10-2023,459.03
453,586,403,30-04-2023,295.85
454,2567,428,3/1/2023,1195.5
455,1784,133,16-06-2023,662.45
456,1821,143,22-12-2023,260.9
457,2225,320,28-02-2023,1310.54
458,2691,142,17-03-2023,1362.56
459,1823,358,17-09-2023,196.9
460,1932,84,9/9/2023,952.12
461,2390,121,3/8/2023,247.36
462,2930,55,5/8/2023,833.46
463,1289,499,8/1/2023,682.45
464,2674,57,8/6/2023,598.83
465,2116,289,31-12-2023,1161.9
466,1199,316,19-06-2023,1141.11
467,937,438,3/8/2023,654.85
468,701,78,15-08-2023,447.31
469,1834,334,8/11/2023,955.06
470,1577,357,22-06-2023,487.14
471,2810,232,14-03-2023,1185.7
472,526,42,31-05-2023,919.75
473,168,391,17-04-2023,1491.83
474,2718,343,24-06-2023,1161.94
475,1571,196,24-07-2023,354.71
476,2117,250,11/3/2023,833.02
477,1733,35,7/12/2023,442.46
478,2216,131,17-11-2023,170.89
479,1290,287,27-11-2023,925.22
480,1262,214,8/8/2023,532.08
481,2981,391,15-08-2023,887.3
482,763,283,9/12/2023,555.21
483,2101,35,8/3/2023,1069.6
484,719,139,13-04-2023,509.03
485,1019,353,22-03-2023,678.26
486,1133,382,27-10-2023,838.93
487,230,268,2/11/2023,535.12
488,1301,159,30-05-2023,1201.51
489,1684,410,21-03-2023,386.71
490,362,62,24-06-2023,125.35
491,2489,428,28-08-2023,1224.42
492,650,114,18-10-2023,1478.62
493,2057,399,17-12-2023,698.79
494,361,66,11/4/2023,911.14
495,2865,23,29-08-2023,1291.76
496,987,432,8/11/2023,1374.88
497,1570,381,15-12-2023,872.66
498,2119,12,2/12/2023,989.29
499,1561,210,4/6/2023,258.36
500,704,69,17-02-2023,143.1
501,2305,417,10/4/2023,1460.05
502,86,237,12/1/2023,480.06
503,106,154,23-09-2023,1108.65
504,2499,86,24-06-2023,832.47
505,337,138,20-01-2023,1320.62
506,1951,423,27-11-2023,1078.78
507,1315,361,4/2/2023,455.99
508,2069,282,12/1/2023,527.85
509,2674,6,17-04-2023,764.57
510,790,257,4/12/2023,720.04
511,1800,347,2/6/2023,186.07
512,330,234,6/1/2023,1075.9
513,1337,212,22-11-2023,1127.35
514,1418,88,9/12/2023,840.69
515,1430,259,21-04-2023,283.87
516,2045,40,7/10/2023,524.46
517,2717,275,23-06-2023,417.31
518,1213,51,22-06-2023,383.82
519,628,421,29-07-2023,287.01
520,1828,66,29-07-2023,1254.19
521,1604,500,27-02-2023,532.37
522,2472,321,28-04-2023,1322.99
523,410,220,17-12-2023,1403.79
524,2292,81,7/4/2023,890.78
525,439,21,9/11/2023,515.98
526,435,175,25-07-2023,1397.52
527,1924,244,30-01-2023,1123.75
528,898,194,18-09-2023,311.35
529,1449,359,6/2/2023,1231.09
530,1213,312,15-06-2023,757.94
531,2661,306,10/4/2023,947.56
532,211,66,31-12-2023,444.52
533,2618,278,26-05-2023,1236.68
534,1159,250,20-06-2023,233.98
535,1104,315,16-07-2023,499.11
536,2162,432,26-10-2023,946.71
537,2072,319,24-03-2023,1349.8
538,2805,470,26-05-2023,1432.41
539,1210,476,29-09-2023,752.65
540,1072,213,17-04-2023,1387.89
541,1573,79,29-04-2023,1490.15
542,233,451,9/12/2023,644.1
543,1688,467,12/9/2023,1455.9
544,1562,9,17-04-2023,1230.52
545,1199,72,11/4/2023,463.5
546,627,120,28-12-2023,418.24
547,2488,161,30-07-2023,110.34
548,224,12,24-10-2023,366.07
549,639,351,1/7/2023,1024.01
550,951,427,25-06-2023,580.01
551,1756,71,14-06-2023,623.03
552,188,408,29-07-2023,591.16
553,1252,360,25-06-2023,749.92
554,341,125,12/1/2023,379.21
555,365,186,15-11-2023,1289.38
556,648,55,28-08-2023,642.17
557,2227,61,25-08-2023,262.12
558,1167,62,10/9/2023,899.51
559,2234,278,17-10-2023,951.29
560,1408,93,17-03-2023,350.76
561,2058,394,30-06-2023,1336.97
562,679,290,25-09-2023,1435.43
563,1083,19,22-12-2023,1260.85
564,408,404,26-11-2023,225.51
565,2447,333,27-11-2023,594.01
566,1166,172,13-09-2023,101.36
567,2624,224,22-01-2023,1191.83
568,518,289,7/7/2023,373.33
569,1653,169,26-06-2023,319.96
570,2210,112,23-10-2023,1182.13
571,2862,17,10/6/2023,936.28
572,85,289,2/4/2023,646.56
573,1042,342,17-07-2023,1040.32
574,1966,131,27-02-2023,1482.98
575,1912,433,3/10/2023,302.22
576,988,144,2/5/2023,347.09
577,2323,175,28-05-2023,245.85
578,299,490,26-05-2023,1023.74
579,1384,457,17-11-2023,323.69
580,1938,177,28-10-2023,556.6
581,2982,97,13-05-2023,688.89
582,1092,126,9/6/2023,257.75
583,2667,373,18-12-2023,529.79
584,1264,115,12/3/2023,594.46
585,2760,278,22-12-2023,214.94
586,1596,112,28-05-2023,594.21
587,909,310,17-06-2023,460.28
588,1068,330,14-04-2023,832.56
589,2618,118,25-08-2023,1227.78
590,1551,237,15-05-2023,1111.49
591,2034,89,9/12/2023,1411.85
592,978,441,11/5/2023,1468.95
593,472,161,13-03-2023,120.42
594,2170,218,19-09-2023,182.27
595,2233,454,23-04-2023,737.36
596,1020,249,27-12-2023,126.61
597,553,166,10/1/2023,285.11
598,833,199,3/4/2023,158.23
599,1652,306,31-03-2023,1243.36
600,2271,132,7/4/2023,1317.96
601,2578,64,22-04-2023,208.93
602,936,165,31-10-2023,411.7
603,1422,310,21-11-2023,1237.5
604,2664,318,14-07-2023,250.56
605,1410,383,15-01-2023,456.15
606,288,67,17-11-2023,612.19
607,1794,102,28-09-2023,1165.33
608,1278,97,31-07-2023,849.26
609,2158,284,23-12-2023,1083.35
610,1154,396,22-01-2023,1079.49
611,1539,422,29-11-2023,233.1
612,2876,455,6/9/2023,1284.41
613,812,72,19-03-2023,992.33
614,2470,61,25-11-2023,318.71
615,1392,94,12/11/2023,134.72
616,1947,292,12/9/2023,952.3
617,2051,451,25-05-2023,673.7
618,2227,368,6/10/2023,204.18
619,1434,338,15-08-2023,1105.7
620,980,82,18-12-2023,1132.62
621,1756,462,13-04-2023,1331.85
622,2560,383,20-07-2023,1245.34
623,1232,500,16-05-2023,269.13
624,2150,380,17-06-2023,1032.56
625,1769,377,27-07-2023,1481.48
626,877,85,23-07-2023,1174.89
627,2775,290,1/6/2023,633.99
628,1913,80,23-06-2023,1321.02
629,1396,225,26-08-2023,149.42
630,2553,172,17-11-2023,621.45
631,1535,420,17-02-2023,516.17
632,2639,399,20-10-2023,1387.29
633,668,183,30-10-2023,1336.25
634,2251,181,2/4/2023,473.16
635,493,111,13-03-2023,853.71
636,297,19,28-02-2023,998.69
637,2884,308,12/8/2023,794.07
638,1955,317,8/10/2023,1264.63
639,126,244,1/10/2023,710.43
640,915,83,5/10/2023,1382.45
641,1203,468,29-06-2023,1468.47
642,2696,178,29-06-2023,714.92
643,674,241,5/7/2023,502.76
644,1449,460,2/8/2023,235.21
645,1493,97,8/4/2023,107.7
646,2398,240,15-01-2023,515.29
647,818,36,1/5/2023,1288.91
648,998,87,15-02-2023,885.84
649,391,280,17-05-2023,325.97
650,1687,160,28-05-2023,154.22
651,1945,51,9/3/2023,570.57
652,673,184,17-04-2023,241.6
653,354,249,18-09-2023,1164.25
654,242,196,1/8/2023,165.99
655,2520,264,19-04-2023,1211.93
656,2424,19,3/7/2023,1210.73
657,660,92,29-10-2023,398.22
658,1445,447,22-05-2023,1341.45
659,845,398,14-08-2023,1473.68
660,59,124,15-09-2023,1251.48
661,2872,363,28-11-2023,540.86
662,828,232,2/9/2023,1099.31
663,2107,141,8/11/2023,476.39
664,938,59,13-07-2023,652.9
665,1739,134,14-06-2023,673.94
666,2236,269,22-07-2023,1160.51
667,1400,474,3/3/2023,1329.9
668,797,51,29-12-2023,655.12
669,1948,201,22-03-2023,251.36
670,2245,147,17-10-2023,446.28
671,1268,274,12/7/2023,1244.93
672,2205,403,6/2/2023,1194.62
673,2293,324,27-09-2023,686.67
674,1165,303,12/6/2023,688
675,2014,412,27-02-2023,1431.48
676,2870,182,22-02-2023,835.02
677,1037,206,26-02-2023,414.31
678,2701,352,13-11-2023,388.53
679,1781,356,28-01-2023,946.33
680,921,394,2/10/2023,1355.5
681,2478,63,4/5/2023,651.38
682,2673,422,18-08-2023,422.92
683,665,477,2/3/2023,1034.57
684,569,43,27-06-2023,392.59
685,235,261,21-01-2023,869.24
686,1243,489,22-03-2023,1308.81
687,360,32,27-02-2023,454.84
688,945,166,31-12-2023,1352.28
689,1554,426,18-02-2023,217.97
690,741,368,21-04-2023,429.75
691,410,130,27-12-2023,527.78
692,2166,220,20-01-2023,850.43
693,2978,170,18-07-2023,266.61
694,2343,391,21-10-2023,381.7
695,2640,202,5/6/2023,821.91
696,563,17,13-07-2023,1450.43
697,1382,158,31-08-2023,167.13
698,2003,278,19-08-2023,1162.22
699,2287,405,9/8/2023,1015.71
700,2915,257,20-04-2023,1019.44
701,744,396,23-04-2023,184.54
702,1073,38,16-10-2023,1151.27
703,971,500,5/1/2023,593.94
704,561,35,3/8/2023,1079.52
705,886,109,20-06-2023,445.15
706,772,272,21-08-2023,843.99
707,259,329,10/10/2023,675.48
708,206,435,17-03-2023,118.01
709,1400,482,15-03-2023,777.96
710,2481,453,8/1/2023,496.54
711,2120,409,4/3/2023,1395.2
712,2964,44,19-06-2023,459.32
713,2721,35,14-03-2023,607.99
714,1691,339,10/9/2023,274.37
715,428,386,5/8/2023,567.12
716,1470,218,23-09-2023,316.8
717,1152,190,9/7/2023,1358.06
718,1697,326,18-09-2023,685.21
719,2081,488,6/9/2023,1193.07
720,2295,60,14-10-2023,503.79
721,1632,165,11/11/2023,1017.25
722,352,500,15-02-2023,610.96
723,1022,27,18-11-2023,787.1
724,2611,222,25-10-2023,233.72
725,91,104,21-12-2023,131.61
726,1229,352,7/6/2023,1443.82
727,2472,228,9/5/2023,643.27
728,2700,20,19-10-2023,1244.61
729,963,202,11/10/2023,1205.2
730,1274,62,19-11-2023,1061.72
731,807,352,1/12/2023,416.96
732,2353,145,23-06-2023,1214.07
733,2752,2,8/1/2023,1458.77
734,1375,485,31-10-2023,626.27
735,1252,111,17-05-2023,1038.61
736,1935,68,7/3/2023,548.12
737,1956,226,30-01-2023,722.36
738,2387,42,23-05-2023,433.54
739,915,353,30-08-2023,1447.58
740,251,261,9/6/2023,1019.39
741,935,334,9/1/2023,1271.78
742,2186,19,24-02-2023,962.34
743,2911,5,8/2/2023,1102.19
744,2607,328,31-05-2023,114.15
745,1010,323,6/5/2023,569.11
746,2521,372,23-06-2023,1129.22
747,2124,238,2/11/2023,151.85
748,1931,5,14-04-2023,562.25
749,1766,479,27-05-2023,1380.69
750,2706,299,8/8/2023,1180.7
751,2807,466,31-08-2023,299.28
752,1781,155,9/4/2023,349.08
753,93,386,25-08-2023,799.88
754,2856,279,31-12-2023,104.12
755,1628,287,2/9/2023,770.87
756,2560,109,8/12/2023,1314.92
757,1643,404,4/3/2023,555.58
758,1100,407,30-09-2023,686.6
759,978,202,19-12-2023,972.35
760,1071,183,4/1/2023,832.03
761,1066,37,23-09-2023,194.03
762,2335,450,21-10-2023,158.13
763,2981,229,8/7/2023,522.38
764,1025,493,6/11/2023,233.78
765,983,3,14-05-2023,1313.52
766,774,111,14-10-2023,971.18
767,868,227,29-04-2023,833.45
768,1347,279,9/5/2023,201.92
769,2033,181,12/11/2023,1465.24
770,850,79,7/12/2023,452.62
771,1674,299,23-07-2023,979.22
772,172,202,25-09-2023,1012.54
773,305,487,5/12/2023,1264.71
774,2465,463,17-03-2023,1363.91
775,1635,88,15-10-2023,1013.52
